DATE,RESPPANWW
2003-01-01,732202.0
2003-01-08,724902.0
2003-01-15,721325.0
2003-01-22,737069.0
2003-01-29,714316.0
2003-02-05,720885.0
2003-02-12,714547.0
2003-02-19,731553.0
2003-02-26,723222.0
2003-03-05,723792.0
2003-03-12,718105.0
2003-03-19,731000.0
2003-03-26,726250.0
2003-04-02,733626.0
2003-04-09,728975.0
2003-04-16,747062.0
2003-04-23,733481.0
2003-04-30,747460.0
2003-05-07,734390.0
2003-05-14,741413.0
2003-05-21,735854.0
2003-05-28,745948.0
2003-06-04,732753.0
2003-06-11,744296.0
2003-06-18,737093.0
2003-06-25,745266.0
2003-07-02,741370.0
2003-07-09,745602.0
2003-07-16,738954.0
2003-07-23,746892.0
2003-07-30,741559.0
2003-08-06,735147.0
2003-08-13,736612.0
2003-08-20,751992.0
2003-08-27,741742.0
2003-09-03,751353.0
2003-09-10,738300.0
2003-09-17,745210.0
2003-09-24,742314.0
2003-10-01,754446.0
2003-10-08,738093.0
2003-10-15,755556.0
2003-10-22,744851.0
2003-10-29,748784.0
2003-11-05,745371.0
2003-11-12,745761.0
2003-11-19,745600.0
2003-11-26,758083.0
2003-12-03,751054.0
2003-12-10,757590.0
2003-12-17,755091.0
2003-12-24,767978.0
2003-12-31,772995.0
2004-01-07,756832.0
2004-01-14,754119.0
2004-01-21,777059.0
2004-01-28,756841.0
2004-02-04,755445.0
2004-02-11,752243.0
2004-02-18,759685.0
2004-02-25,752004.0
2004-03-03,756199.0
2004-03-10,750831.0
2004-03-17,761524.0
2004-03-24,752472.0
2004-03-31,761743.0
2004-04-07,754869.0
2004-04-14,764814.0
2004-04-21,759012.0
2004-04-28,774058.0
2004-05-05,759949.0
2004-05-12,765811.0
2004-05-19,757979.0
2004-05-26,771892.0
2004-06-02,764893.0
2004-06-09,773123.0
2004-06-16,762755.0
2004-06-23,776150.0
2004-06-30,780361.0
2004-07-07,778684.0
2004-07-14,776261.0
2004-07-21,777591.0
2004-07-28,774561.0
2004-08-04,772807.0
2004-08-11,769982.0
2004-08-18,768216.0
2004-08-25,776216.0
2004-09-01,786094.0
2004-09-08,789090.0
2004-09-15,790069.0
2004-09-22,783030.0
2004-09-29,787410.0
2004-10-06,782750.0
2004-10-13,796011.0
2004-10-20,786093.0
2004-10-27,792175.0
2004-11-03,791585.0
2004-11-10,801309.0
2004-11-17,794972.0
2004-11-24,810970.0
2004-12-01,807973.0
2004-12-08,809391.0
2004-12-15,807896.0
2004-12-22,812136.0
2004-12-29,811962.0
2005-01-05,816763.0
2005-01-12,799268.0
2005-01-19,808220.0
2005-01-26,808012.0
2005-02-02,805705.0
2005-02-09,798620.0
2005-02-16,796496.0
2005-02-23,805727.0
2005-03-02,802675.0
2005-03-09,800358.0
2005-03-16,808153.0
2005-03-23,798072.0
2005-03-30,808487.0
2005-04-06,798095.0
2005-04-13,806739.0
2005-04-20,802969.0
2005-04-27,810697.0
2005-05-04,803447.0
2005-05-11,809073.0
2005-05-18,802334.0
2005-05-25,810921.0
2005-06-01,818300.0
2005-06-08,815308.0
2005-06-15,812235.0
2005-06-22,811179.0
2005-06-29,810968.0
2005-07-06,822944.0
2005-07-13,809526.0
2005-07-20,817735.0
2005-07-27,815144.0
2005-08-03,819529.0
2005-08-10,809540.0
2005-08-17,815282.0
2005-08-24,812315.0
2005-08-31,824574.0
2005-09-07,824448.0
2005-09-14,824796.0
2005-09-21,813996.0
2005-09-28,824750.0
2005-10-05,818227.0
2005-10-12,828989.0
2005-10-19,815465.0
2005-10-26,820062.0
2005-11-02,815926.0
2005-11-09,825884.0
2005-11-16,824451.0
2005-11-23,834156.0
2005-11-30,836054.0
2005-12-07,834325.0
2005-12-14,832009.0
2005-12-21,849409.0
2005-12-28,848909.0
2006-01-04,854174.0
2006-01-11,830872.0
2006-01-18,838675.0
2006-01-25,830100.0
2006-02-01,833289.0
2006-02-08,828904.0
2006-02-15,836281.0
2006-02-22,842380.0
2006-03-01,840566.0
2006-03-08,840528.0
2006-03-15,844020.0
2006-03-22,839196.0
2006-03-29,834635.0
2006-04-05,835979.0
2006-04-12,837968.0
2006-04-19,837358.0
2006-04-26,846026.0
2006-05-03,845192.0
2006-05-10,839651.0
2006-05-17,839649.0
2006-05-24,841967.0
2006-05-31,853554.0
2006-06-07,850218.0
2006-06-14,847022.0
2006-06-21,845940.0
2006-06-28,845679.0
2006-07-05,853082.0
2006-07-12,845357.0
2006-07-19,850997.0
2006-07-26,842511.0
2006-08-02,851664.0
2006-08-09,841073.0
2006-08-16,843977.0
2006-08-23,838957.0
2006-08-30,852299.0
2006-09-06,851521.0
2006-09-13,842017.0
2006-09-20,839356.0
2006-09-27,851033.0
2006-10-04,843857.0
2006-10-11,861367.0
2006-10-18,845439.0
2006-10-25,853681.0
2006-11-01,857192.0
2006-11-08,860034.0
2006-11-15,856561.0
2006-11-22,866320.0
2006-11-29,857498.0
2006-12-06,864015.0
2006-12-13,855534.0
2006-12-20,866962.0
2006-12-27,871162.0
2007-01-03,875886.0
2007-01-10,856084.0
2007-01-17,860802.0
2007-01-24,852556.0
2007-01-31,866559.0
2007-02-07,855950.0
2007-02-14,868051.0
2007-02-21,870820.0
2007-02-28,878205.0
2007-03-07,865685.0
2007-03-14,876868.0
2007-03-21,863755.0
2007-03-28,870656.0
2007-04-04,863206.0
2007-04-11,866525.0
2007-04-18,862347.0
2007-04-25,880456.0
2007-05-02,892372.0
2007-05-09,876213.0
2007-05-16,860378.0
2007-05-23,874929.0
2007-05-30,878220.0
2007-06-06,873911.0
2007-06-13,865881.0
2007-06-20,867099.0
2007-06-27,865949.0
2007-07-04,878608.0
2007-07-11,873060.0
2007-07-18,873966.0
2007-07-25,864700.0
2007-08-01,871042.0
2007-08-08,866294.0
2007-08-15,865720.0
2007-08-22,863509.0
2007-08-29,873589.0
2007-09-05,872896.0
2007-09-12,887233.0
2007-09-19,868615.0
2007-09-26,890671.0
2007-10-03,869874.0
2007-10-10,888061.0
2007-10-17,870193.0
2007-10-24,881978.0
2007-10-31,884044.0
2007-11-07,886556.0
2007-11-14,890831.0
2007-11-21,891596.0
2007-11-28,879893.0
2007-12-05,883464.0
2007-12-12,882436.0
2007-12-19,888692.0
2007-12-26,891158.0
2008-01-02,923058.0
2008-01-09,881323.0
2008-01-16,894245.0
2008-01-23,878400.0
2008-01-30,900810.0
2008-02-06,871610.0
2008-02-13,883544.0
2008-02-20,880047.0
2008-02-27,894294.0
2008-03-05,881822.0
2008-03-12,897089.0
2008-03-19,889065.0
2008-03-26,894437.0
2008-04-02,884297.0
2008-04-09,893609.0
2008-04-16,882426.0
2008-04-23,886483.0
2008-04-30,888721.0
2008-05-07,889757.0
2008-05-14,880605.0
2008-05-21,898913.0
2008-05-28,904977.0
2008-06-04,896444.0
2008-06-11,891195.0
2008-06-18,902927.0
2008-06-25,893196.0
2008-07-02,903620.0
2008-07-09,898653.0
2008-07-16,911291.0
2008-07-23,900292.0
2008-07-30,919115.0
2008-08-06,902873.0
2008-08-13,915164.0
2008-08-20,899120.0
2008-08-27,910543.0
2008-09-03,905996.0
2008-09-10,926372.0
2008-09-17,995589.0
2008-09-24,1212299.0
2008-10-01,1504499.0
2008-10-08,1592049.0
2008-10-15,1771632.0
2008-10-22,1803036.0
2008-10-29,1969444.0
2008-11-05,2074643.0
2008-11-12,2213329.0
2008-11-19,2187596.0
2008-11-26,2106615.0
2008-12-03,2137435.0
2008-12-10,2250457.0
2008-12-17,2255370.0
2008-12-24,2232826.0
2008-12-31,2239854.0
2009-01-07,2121949.0
2009-01-14,2050122.0
2009-01-21,2037755.0
2009-01-28,1927437.0
2009-02-04,1851813.0
2009-02-11,1843739.0
2009-02-18,1916216.0
2009-02-25,1916461.0
2009-03-04,1901834.0
2009-03-11,1899968.0
2009-03-18,2067273.0
2009-03-25,2071847.0
2009-04-01,2079411.0
2009-04-08,2088983.0
2009-04-15,2187028.0
2009-04-22,2197155.0
2009-04-29,2067131.0
2009-05-06,2080452.0
2009-05-13,2196882.0
2009-05-20,2181986.0
2009-05-27,2080642.0
2009-06-03,2078237.0
2009-06-10,2052633.0
2009-06-17,2072938.0
2009-06-24,2025828.0
2009-07-01,2006220.0
2009-07-08,1993054.0
2009-07-15,2072846.0
2009-07-22,2039391.0
2009-07-29,2000966.0
2009-08-05,1989654.0
2009-08-12,2015200.0
2009-08-19,2061283.0
2009-08-26,2075243.0
2009-09-02,2084026.0
2009-09-09,2088516.0
2009-09-16,2140254.0
2009-09-23,2158900.0
2009-09-30,2141302.0
2009-10-07,2138587.0
2009-10-14,2193576.0
2009-10-21,2201452.0
2009-10-28,2161834.0
2009-11-04,2165358.0
2009-11-11,2135394.0
2009-11-18,2209000.0
2009-11-25,2206591.0
2009-12-02,2204380.0
2009-12-09,2186762.0
2009-12-16,2236035.0
2009-12-23,2236055.0
2009-12-30,2234309.0
2010-01-06,2235669.0
2010-01-13,2292090.0
2010-01-20,2252213.0
2010-01-27,2247065.0
2010-02-03,2249553.0
2010-02-10,2256849.0
2010-02-17,2277936.0
2010-02-24,2286282.0
2010-03-03,2280227.0
2010-03-10,2282548.0
2010-03-17,2308068.0
2010-03-24,2313198.0
2010-03-31,2307201.0
2010-04-07,2307637.0
2010-04-14,2339408.0
2010-04-21,2337612.0
2010-04-28,2330517.0
2010-05-05,2326221.0
2010-05-12,2336143.0
2010-05-19,2350934.0
2010-05-26,2334081.0
2010-06-02,2336305.0
2010-06-09,2331566.0
2010-06-16,2344348.0
2010-06-23,2344521.0
2010-06-30,2330901.0
2010-07-07,2332114.0
2010-07-14,2340767.0
2010-07-21,2332369.0
2010-07-28,2325362.0
2010-08-04,2326563.0
2010-08-11,2327604.0
2010-08-18,2313764.0
2010-08-25,2301100.0
2010-09-01,2302106.0
2010-09-08,2305916.0
2010-09-15,2296172.0
2010-09-22,2307266.0
2010-09-29,2298781.0
2010-10-06,2308176.0
2010-10-13,2310002.0
2010-10-20,2305322.0
2010-10-27,2295477.0
2010-11-03,2300443.0
2010-11-10,2312859.0
2010-11-17,2314851.0
2010-11-24,2346097.0
2010-12-01,2347007.0
2010-12-08,2382387.0
2010-12-15,2385843.0
2010-12-22,2428053.0
2010-12-29,2420674.0
2011-01-05,2436162.0
2011-01-12,2468230.0
2011-01-19,2425374.0
2011-01-26,2443637.0
2011-02-02,2469513.0
2011-02-09,2500567.0
2011-02-16,2508967.0
2011-02-23,2533359.0
2011-03-02,2545231.0
2011-03-09,2577172.0
2011-03-16,2583145.0
2011-03-23,2601444.0
2011-03-30,2622616.0
2011-04-06,2648776.0
2011-04-13,2665508.0
2011-04-20,2685882.0
2011-04-27,2691133.0
2011-05-04,2718848.0
2011-05-11,2744597.0
2011-05-18,2758079.0
2011-05-25,2775137.0
2011-06-01,2788955.0
2011-06-08,2811363.0
2011-06-15,2827703.0
2011-06-22,2856563.0
2011-06-29,2865408.0
2011-07-06,2870296.0
2011-07-13,2878212.0
2011-07-20,2871435.0
2011-07-27,2863806.0
2011-08-03,2867363.0
2011-08-10,2872543.0
2011-08-17,2858024.0
2011-08-24,2859542.0
2011-08-31,2854000.0
2011-09-07,2858789.0
2011-09-14,2863651.0
2011-09-21,2857909.0
2011-09-28,2851028.0
2011-10-05,2859823.0
2011-10-12,2860959.0
2011-10-19,2852516.0
2011-10-26,2845777.0
2011-11-02,2822149.0
2011-11-09,2839886.0
2011-11-16,2831681.0
2011-11-23,2822063.0
2011-11-30,2814313.0
2011-12-07,2820774.0
2011-12-14,2902568.0
2011-12-21,2916188.0
2011-12-28,2926195.0
2012-01-04,2917845.0
2012-01-11,2899235.0
2012-01-18,2919617.0
2012-01-25,2919667.0
2012-02-01,2925040.0
2012-02-08,2928366.0
2012-02-15,2937996.0
2012-02-22,2932953.0
2012-02-29,2925788.0
2012-03-07,2884816.0
2012-03-14,2893871.0
2012-03-21,2892716.0
2012-03-28,2878200.0
2012-04-04,2865568.0
2012-04-11,2867267.0
2012-04-18,2875608.0
2012-04-25,2866675.0
2012-05-02,2864377.0
2012-05-09,2864231.0
2012-05-16,2851081.0
2012-05-23,2859578.0
2012-05-30,2842777.0
2012-06-06,2852083.0
2012-06-13,2869132.0
2012-06-20,2870921.0
2012-06-27,2863605.0
2012-07-04,2865961.0
2012-07-11,2866332.0
2012-07-18,2855871.0
2012-07-25,2846805.0
2012-08-01,2851183.0
2012-08-08,2856237.0
2012-08-15,2833374.0
2012-08-22,2825724.0
2012-08-29,2813001.0
2012-09-05,2822283.0
2012-09-12,2823505.0
2012-09-19,2821637.0
2012-09-26,2804567.0
2012-10-03,2808621.0
2012-10-10,2811853.0
2012-10-17,2847037.0
2012-10-24,2841053.0
2012-10-31,2823137.0
2012-11-07,2830791.0
2012-11-14,2877244.0
2012-11-21,2871162.0
2012-11-28,2851362.0
2012-12-05,2859807.0
2012-12-12,2917260.0
2012-12-19,2920231.0
2012-12-26,2907300.0
2013-01-02,2917189.0
2013-01-09,2928728.0
2013-01-16,2963812.0
2013-01-23,3011697.0
2013-01-30,3008704.0
2013-02-06,3014975.0
2013-02-13,3074225.0
2013-02-20,3095150.0
2013-02-27,3090600.0
2013-03-06,3108805.0
2013-03-13,3165396.0
2013-03-20,3206888.0
2013-03-27,3202256.0
2013-04-03,3215432.0
2013-04-10,3227762.0
2013-04-17,3295109.0
2013-04-24,3318649.0
2013-05-01,3317194.0
2013-05-08,3324615.0
2013-05-15,3354269.0
2013-05-22,3398713.0
2013-05-29,3385128.0
2013-06-05,3400183.0
2013-06-12,3410842.0
2013-06-19,3470530.0
2013-06-26,3478672.0
2013-07-03,3492742.0
2013-07-10,3504095.0
2013-07-17,3537861.0
2013-07-24,3574574.0
2013-07-31,3571797.0
2013-08-07,3585359.0
2013-08-14,3646323.0
2013-08-21,3645668.0
2013-08-28,3644456.0
2013-09-04,3654182.0
2013-09-11,3662035.0
2013-09-18,3722192.0
2013-09-25,3734018.0
2013-10-02,3747387.0
2013-10-09,3758663.0
2013-10-16,3813599.0
2013-10-23,3839033.0
2013-10-30,3843396.0
2013-11-06,3851623.0
2013-11-13,3907424.0
2013-11-20,3906620.0
2013-11-27,3925876.0
2013-12-04,3932627.0
2013-12-11,3993955.0
2013-12-18,4008062.0
2013-12-25,4032575.0
2014-01-01,4023640.0
2014-01-08,4028185.0
2014-01-15,4071528.0
2014-01-22,4097914.0
2014-01-29,4102138.0
2014-02-05,4109285.0
2014-02-12,4119474.0
2014-02-19,4149224.0
2014-02-26,4159972.0
2014-03-05,4171762.0
2014-03-12,4181361.0
2014-03-19,4222081.0
2014-03-26,4226971.0
2014-04-02,4236441.0
2014-04-09,4244188.0
2014-04-16,4283967.0
2014-04-23,4296339.0
2014-04-30,4296049.0
2014-05-07,4303143.0
2014-05-14,4336649.0
2014-05-21,4327560.0
2014-05-28,4322654.0
2014-06-04,4330917.0
2014-06-11,4340904.0
2014-06-18,4368168.0
2014-06-25,4368348.0
2014-07-02,4377031.0
2014-07-09,4383401.0
2014-07-16,4398201.0
2014-07-23,4410746.0
2014-07-30,4406637.0
2014-08-06,4410111.0
2014-08-13,4431923.0
2014-08-20,4412924.0
2014-08-27,4413736.0
2014-09-03,4415587.0
2014-09-10,4421408.0
2014-09-17,4449588.0
2014-09-24,4459050.0
2014-10-01,4450260.0
2014-10-08,4455403.0
2014-10-15,4474360.0
2014-10-22,4481616.0
2014-10-29,4486754.0
2014-11-05,4486585.0
2014-11-12,4488895.0
2014-11-19,4492759.0
2014-11-26,4485931.0
2014-12-03,4486190.0
2014-12-10,4488865.0
2014-12-17,4502247.0
2014-12-24,4509462.0
2014-12-31,4497660.0
2015-01-07,4499524.0
2015-01-14,4516077.0
2015-01-21,4512936.0
2015-01-28,4500064.0
2015-02-04,4500348.0
2015-02-11,4501685.0
2015-02-18,4496851.0
2015-02-25,4486725.0
2015-03-04,4487583.0
2015-03-11,4489279.0
2015-03-18,4495888.0
2015-03-25,4480603.0
2015-04-01,4481799.0
2015-04-08,4483419.0
2015-04-15,4485366.0
2015-04-22,4489695.0
2015-04-29,4471499.0
2015-05-06,4472703.0
2015-05-13,4501188.0
2015-05-20,4480384.0
2015-05-27,4463981.0
2015-06-03,4465360.0
2015-06-10,4468005.0
2015-06-17,4487817.0
2015-06-24,4495055.0
2015-07-01,4479130.0
2015-07-08,4481289.0
2015-07-15,4493605.0
2015-07-22,4500503.0
2015-07-29,4485480.0
2015-08-05,4486329.0
2015-08-12,4489250.0
2015-08-19,4487208.0
2015-08-26,4475105.0
2015-09-02,4475886.0
2015-09-09,4478213.0
2015-09-16,4487809.0
2015-09-23,4497484.0
2015-09-30,4484111.0
2015-10-07,4486185.0
2015-10-14,4504704.0
2015-10-21,4501372.0
2015-10-28,4489339.0
2015-11-04,4489702.0
2015-11-11,4492012.0
2015-11-18,4486721.0
2015-11-25,4477088.0
2015-12-02,4478069.0
2015-12-09,4480436.0
2015-12-16,4489593.0
2015-12-23,4496523.0
2015-12-30,4486587.0
2016-01-06,4486606.0
2016-01-13,4501695.0
2016-01-20,4488840.0
2016-01-27,4482349.0
2016-02-03,4483495.0
2016-02-10,4486278.0
2016-02-17,4483629.0
2016-02-24,4489796.0
2016-03-02,4478485.0
2016-03-09,4481083.0
2016-03-16,4486333.0
2016-03-23,4492857.0
2016-03-30,4482840.0
2016-04-06,4484069.0
2016-04-13,4499729.0
2016-04-20,4490131.0
2016-04-27,4474665.0
2016-05-04,4477270.0
2016-05-11,4478411.0
2016-05-18,4473741.0
2016-05-25,4461111.0
2016-06-01,4461393.0
2016-06-08,4463542.0
2016-06-15,4472817.0
2016-06-22,4482009.0
2016-06-29,4466482.0
2016-07-06,4470605.0
2016-07-13,4472202.0
2016-07-20,4480973.0
2016-07-27,4464498.0
2016-08-03,4466793.0
2016-08-10,4468929.0
2016-08-17,4466476.0
2016-08-24,4473840.0
2016-08-31,4457907.0
2016-09-07,4459394.0
2016-09-14,4481635.0
2016-09-21,4473032.0
2016-09-28,4452002.0
2016-10-05,4459407.0
2016-10-12,4457698.0
2016-10-19,4467382.0
2016-10-26,4454326.0
2016-11-02,4453087.0
2016-11-09,4455087.0
2016-11-16,4453633.0
2016-11-23,4465782.0
2016-11-30,4446307.0
2016-12-07,4448618.0
2016-12-14,4470973.0
2016-12-21,4469089.0
2016-12-28,4451451.0
2017-01-04,4453101.0
2017-01-11,4452509.0
2017-01-18,4460758.0
2017-01-25,4452838.0
2017-02-01,4453881.0
2017-02-08,4456236.0
2017-02-15,4454676.0
2017-02-22,4468702.0
2017-03-01,4458018.0
2017-03-08,4459840.0
2017-03-15,4469577.0
2017-03-22,4478236.0
2017-03-29,4469618.0
2017-04-05,4474634.0
2017-04-12,4484492.0
2017-04-19,4479270.0
2017-04-26,4470142.0
2017-05-03,4471246.0
2017-05-10,4473459.0
2017-05-17,4467108.0
2017-05-24,4470852.0
2017-05-31,4459914.0
2017-06-07,4462443.0
2017-06-14,4476269.0
2017-06-21,4474257.0
2017-06-28,4463347.0
2017-07-05,4467272.0
2017-07-12,4466702.0
2017-07-19,4476903.0
2017-07-26,4465284.0
2017-08-02,4466846.0
2017-08-09,4469083.0
2017-08-16,4462871.0
2017-08-23,4463837.0
2017-08-30,4452360.0
2017-09-06,4453474.0
2017-09-13,4471174.0
2017-09-20,4458576.0
2017-09-27,4455661.0
2017-10-04,4460422.0
2017-10-11,4459415.0
2017-10-18,4469723.0
2017-10-25,4461117.0
2017-11-01,4455887.0
2017-11-08,4458552.0
2017-11-15,4448289.0
2017-11-22,4450615.0
2017-11-29,4438592.0
2017-12-06,4437148.0
2017-12-13,4452726.0
2017-12-20,4447470.0
2017-12-27,4448680.0
2018-01-03,4443718.0
2018-01-10,4446062.0
2018-01-17,4439145.0
2018-01-24,4441317.0
2018-01-31,4419225.0
2018-02-07,4420745.0
2018-02-14,4434863.0
2018-02-21,4411660.0
2018-02-28,4393401.0
2018-03-07,4396097.0
2018-03-14,4407258.0
2018-03-21,4401222.0
2018-03-28,4392198.0
2018-04-04,4386104.0
2018-04-11,4383684.0
2018-04-18,4385903.0
2018-04-25,4372886.0
2018-05-02,4356129.0
2018-05-09,4358207.0
2018-05-16,4337609.0
2018-05-23,4337301.0
2018-05-30,4327519.0
2018-06-06,4319191.0
2018-06-13,4324906.0
2018-06-20,4315896.0
2018-06-27,4305491.0
2018-07-04,4289764.0
2018-07-11,4291201.0
2018-07-18,4291615.0
2018-07-25,4277681.0
2018-08-01,4255653.0
2018-08-08,4258030.0
2018-08-15,4228924.0
2018-08-22,4228818.0
2018-08-29,4218914.0
2018-09-05,4208496.0
2018-09-12,4210812.0
2018-09-19,4208059.0
2018-09-26,4192909.0
2018-10-03,4174704.0
2018-10-10,4176906.0
2018-10-17,4175446.0
2018-10-24,4173070.0
2018-10-31,4139731.0
2018-11-07,4141936.0
2018-11-14,4145892.0
2018-11-21,4106198.0
2018-11-28,4097170.0
2018-12-05,4086044.0
2018-12-12,4088314.0
2018-12-19,4084274.0
2018-12-26,4075636.0
2019-01-02,4058378.0
2019-01-09,4056563.0
2019-01-16,4050044.0
2019-01-23,4047052.0
2019-01-30,4039678.0
2019-02-06,4026350.0
2019-02-13,4028431.0
2019-02-20,3981420.0
2019-02-27,3974590.0
2019-03-06,3969134.0
2019-03-13,3971559.0
2019-03-20,3962748.0
2019-03-27,3955617.0
2019-04-03,3935509.0
2019-04-10,3936784.0
2019-04-17,3931827.0
2019-04-24,3928273.0
2019-05-01,3889691.0
2019-05-08,3892216.0
2019-05-15,3864749.0
2019-05-22,3860435.0
2019-05-29,3851444.0
2019-06-05,3847645.0
2019-06-12,3849955.0
2019-06-19,3844016.0
2019-06-26,3826817.0
2019-07-03,3813198.0
2019-07-10,3815038.0
2019-07-17,3808110.0
2019-07-24,3803436.0
2019-07-31,3779102.0
2019-08-07,3781543.0
2019-08-14,3786018.0
2019-08-21,3764866.0
2019-08-28,3759946.0
2019-09-04,3761508.0
2019-09-11,3769673.0
2019-09-18,3844695.0
2019-09-25,3857715.0
2019-10-02,3945831.0
2019-10-09,3949955.0
2019-10-16,3966471.0
2019-10-23,3968700.0
2019-10-30,4019823.0
2019-11-06,4039443.0
2019-11-13,4047882.0
2019-11-20,4030249.0
2019-11-27,4052875.0
2019-12-04,4065696.0
2019-12-11,4095491.0
2019-12-18,4137052.0
2019-12-25,4165591.0
2020-01-01,4173626.0
2020-01-08,4149544.0
2020-01-15,4175850.0
2020-01-22,4145912.0
2020-01-29,4151630.0
2020-02-05,4166707.0
2020-02-12,4182689.0
2020-02-19,4171570.0
2020-02-26,4158637.0
2020-03-04,4241507.0
2020-03-11,4311911.0
2020-03-18,4668212.0
2020-03-25,5254278.0
2020-04-01,5811607.0
2020-04-08,6083141.0
2020-04-15,6367887.0
2020-04-22,6573136.0
2020-04-29,6655929.0
2020-05-06,6721420.0
2020-05-13,6934227.0
2020-05-20,7037258.0
2020-05-27,7097316.0
2020-06-03,7165217.0
2020-06-10,7168936.0
2020-06-17,7094690.0
2020-06-24,7082302.0
2020-07-01,7009040.0
2020-07-08,6920716.0
2020-07-15,6958604.0
2020-07-22,6964755.0
2020-07-29,6949032.0
2020-08-05,6945237.0
2020-08-12,6957277.0
2020-08-19,7010637.0
2020-08-26,6990418.0
2020-09-02,7017492.0
2020-09-09,7010614.0
2020-09-16,7064475.0
2020-09-23,7093161.0
2020-09-30,7056129.0
2020-10-07,7074649.0
2020-10-14,7151426.0
2020-10-21,7177265.0
2020-10-28,7146306.0
2020-11-04,7157479.0
2020-11-11,7175417.0
2020-11-18,7243080.0
2020-11-25,7216480.0
2020-12-02,7222414.0
2020-12-09,7242658.0
2020-12-16,7362592.0
2020-12-23,7404039.0
2020-12-30,7363351.0
2021-01-06,7334809.0
2021-01-13,7333968.0
2021-01-20,7414942.0
2021-01-27,7404926.0
2021-02-03,7410598.0
2021-02-10,7442225.0
2021-02-17,7557402.0
2021-02-24,7590111.0
2021-03-03,7557524.0
2021-03-10,7579901.0
2021-03-17,7693506.0
2021-03-24,7719622.0
2021-03-31,7688988.0
2021-04-07,7708882.0
2021-04-14,7793104.0
2021-04-21,7820948.0
2021-04-28,7780962.0
2021-05-05,7810486.0
2021-05-12,7830663.0
2021-05-19,7922883.0
2021-05-26,7903541.0
2021-06-02,7935703.0
2021-06-09,7952327.0
2021-06-16,8064257.0
2021-06-23,8101945.0
2021-06-30,8078544.0
2021-07-07,8097773.0
2021-07-14,8201651.0
2021-07-21,8240530.0
2021-07-28,8221473.0
2021-08-04,8235073.0
2021-08-11,8257159.0
2021-08-18,8342598.0
2021-08-25,8332743.0
2021-09-01,8349173.0
2021-09-08,8357314.0
2021-09-15,8448770.0
2021-09-22,8489824.0
2021-09-29,8447981.0
2021-10-06,8464032.0
2021-10-13,8480942.0
2021-10-20,8564943.0
2021-10-27,8556181.0
2021-11-03,8574871.0
2021-11-10,8663117.0
2021-11-17,8674970.0
2021-11-24,8681771.0
2021-12-01,8650402.0
2021-12-08,8664524.0
2021-12-15,8756666.0
2021-12-22,8790495.0
2021-12-29,8757460.0
2022-01-05,8765721.0
2022-01-12,8788278.0
2022-01-19,8867834.0
2022-01-26,8860485.0
2022-02-02,8873211.0
2022-02-09,8878009.0
2022-02-16,8911033.0
2022-02-23,8928129.0
2022-03-02,8904455.0
2022-03-09,8910748.0
2022-03-16,8954306.0
2022-03-23,8962474.0
2022-03-30,8937142.0
2022-04-06,8937592.0
2022-04-13,8965487.0
2022-04-20,8955851.0
2022-04-27,8939199.0
2022-05-04,8939972.0
2022-05-11,8942008.0
2022-05-18,8945898.0
2022-05-25,8914281.0
2022-06-01,8915050.0
2022-06-08,8918254.0
2022-06-15,8932420.0
2022-06-22,8934346.0
2022-06-29,8913553.0
2022-07-06,8891851.0
2022-07-13,8895867.0
2022-07-20,8899213.0
2022-07-27,8890004.0
2022-08-03,8874620.0
2022-08-10,8879138.0
2022-08-17,8849762.0
2022-08-24,8851436.0
2022-08-31,8826093.0
2022-09-07,8822401.0
2022-09-14,8832759.0
2022-09-21,8816802.0
2022-09-28,8795567.0
